Actual,Predicted
356,419.18
437,419.66
267,297.735
654,710.125
246,200.625
424,488.605
653,793.495
409,427.695
489,462.13
314,363.01
195,174.175
347,293.98
250,288.095
369,283.78
380,428.375
686,728.65
212,201.335
491,434.035
423,386.87
271,278.745
259,233.24
689,824.505
532,514.64
898,914.96
714,631.805
491,502.275
302,306.14
477,469.61
924,841.69
435,429.795
615,470.135
185,226.055
381,271.245
337,374.44
739,684.885
158,266.29
183,178.865
622,698.9
243,218.545
281,226.135
289,369.265
464,399.395
302,299.32
789,590.885
634,548.585
497,418.425
215,212.83
185,222.1
347,382.645
247,294.605
369,315.395
596,630.94
492,407.54
584,580.47
639,591.495
436,400.85
405,484.495
484,395.005
148,270.635
656,506.97
261,408.835
291,377.615
354,332.355
271,388.125
247,384.58
936,886.11
297,339.375
369,485.07
208,303.54
342,310.23
331,484.18
285,299.205
330,368.945
343,303.13
296,264.24
190,244.725
343,262.725
643,585.27
567,522.33
485,429.225
391,537.075
221,212.05
391,299.81
337,337.93
354,407.845
455,461.33
599,656.265
413,449.02
424,434.53
340,347.345
546,450.41
790,790.54
735,872.545
500,350.59
301,291.005
454,534.52
282,281.585
414,432.885
316,343.44
883,795.95
324,234.455
272,308.65
686,649.485
708,600.34
363,372.165
343,285.26
313,396.655
519,413.995
402,533.93
549,484.155
326,465.255
195,312.945
339,496.655
717,724.015
468,500.655
316,327.61
503,483.015
442,398.76
578,427.17
379,394.845
284,292.91
794,757.125
512,356.945
304,351.795
346,276.565
597,593.275
328,285.015
540,585.08
288,215.735
365,276.005
386,250.16
380,376.12
344,403.28
195,231.12
2044,2168.07
261,292.875
446,435.5
383,413.145
317,241.675
370,314.85
601,549.34
238,223.485
560,477.37
193,269.01
359,376.98
533,416.085
403,571.78
486,434.34
363,273.0
588,619.01
216,267.45
348,532.185
515,399.66
449,327.975
286,340.73
193,317.07
291,306.75
334,334.705
682,648.97
527,537.075
411,444.875
624,514.74
143,224.27
466,416.985
246,410.305
141,278.47
397,310.835
620,618.255
391,298.185
292,336.715
269,260.62
239,383.1
640,600.355
1944,2206.41
294,357.04
159,218.195
320,226.205
280,241.77
608,448.855
569,595.585
498,392.225
445,408.3
718,693.835
412,396.41
919,971.55
394,516.31
274,231.885
574,510.645
980,833.505
644,525.61
369,238.01
440,398.825
373,333.175
438,459.675
260,402.335
474,513.05
501,493.35
577,548.835
518,415.515
322,234.39
719,631.705
200,217.135
331,340.205
355,331.98
631,621.03
519,562.755
291,261.265
685,472.83
295,419.005
147,178.09
552,648.97
628,777.335
1356,1406.27
654,663.145
249,285.985
496,522.19
471,647.745
171,219.935
302,377.86
436,491.63
218,370.105
416,308.635
306,352.09
556,556.32
319,347.09
385,400.275
325,337.415
378,454.695
541,561.08
281,399.48
410,479.76
999,907.68
122,206.99
196,242.465
518,372.765
578,577.845
310,317.805
4260,4045.635
309,280.87
460,345.35
231,237.885
421,356.72
241,278.32
491,374.695
982,970.32
288,301.025
271,364.675
472,469.48
361,399.99
245,285.71
406,484.28
441,478.51
249,338.885
121,296.18
377,397.82
433,353.8
409,443.255
391,487.57
334,400.785
238,228.965
759,566.825
271,205.68
239,185.7
871,653.85
293,389.59
497,468.58
231,244.605
475,379.275
421,316.755
556,415.9
462,405.395
649,478.895
520,463.905
490,580.685
166,184.685
584,469.58
309,249.815
543,488.895
339,305.795
432,340.54
218,239.745
216,319.235
657,763.42
244,298.355
297,288.45
317,355.685
858,867.905
348,430.125
295,386.38
426,508.08
361,303.24
289,442.53
547,485.35
406,362.51
309,347.97
572,386.14
491,499.465
365,385.725
140,249.145
365,262.45
415,358.875
393,475.86
426,502.895
447,444.495
580,535.005
411,465.35
460,472.94
352,336.94
619,597.075
294,439.815
519,461.32
478,443.0
502,413.53
420,426.235
832,673.35
310,306.94
457,545.53
578,587.615
763,745.56
285,214.305
669,685.76
203,232.325
171,243.095
723,604.72
280,223.12
395,478.355
279,276.94
263,404.92
467,466.43
533,447.605
374,419.64
249,339.205
370,343.525
193,335.84
346,340.6
586,393.83
586,499.025
857,673.545
364,437.615
443,304.43
580,641.55
550,548.145
664,773.195
805,712.985
335,242.165
516,628.97
224,320.34
391,329.175
284,289.69
460,379.875
682,729.015
532,531.03
297,430.505
204,261.53
306,354.085
945,1002.695
539,536.03
605,469.73
337,401.28
330,300.725
390,298.21
494,531.2
654,813.775
267,254.055
578,521.825
455,384.875
750,710.485
324,230.93
533,521.61
218,182.33
447,592.79
573,543.715
309,335.075
584,596.01
342,348.565
332,242.705
419,339.09
225,297.93
232,307.145
349,277.345
317,253.66
311,357.135
443,381.535
360,385.87
353,276.385
96,228.59
211,244.065
357,297.85
190,407.72
631,573.335
479,458.165
931,794.935
378,417.615
632,702.315
337,343.065
254,247.41
571,422.63
288,355.095
292,323.645
625,697.045
604,497.12
445,348.705
448,588.59
602,616.74
367,458.425
797,645.01
274,335.575
535,434.365
341,365.395
110,257.315
427,389.355
329,295.99
453,430.62
343,319.71
152,188.685
408,462.44
168,272.05
272,282.665
413,372.835
476,580.485
262,275.535
96,169.54
384,394.125
480,426.775
528,459.335
1715,1852.955
338,391.9
419,393.02
166,174.75
420,338.77
536,547.36
718,624.73
390,354.33
360,325.815
480,355.155
456,406.705
228,242.395
495,504.81
2454,2561.175
624,464.385
648,829.485
221,257.49
318,288.225
630,527.755
358,254.415
250,283.415
671,511.825
458,585.24
503,454.215
489,502.32
490,396.225
361,361.485
2288,2192.34
493,399.02
323,299.635
606,616.38
319,322.31
370,428.84
336,448.495
324,484.265
224,238.13
273,208.845
249,273.07
1107,913.99
401,335.075
255,403.835
350,326.08
320,254.445
499,539.705
743,685.55
279,375.65
577,513.55
305,380.175
174,251.46
554,445.62
567,509.845
489,412.26
548,601.365
486,490.06
458,558.09
197,248.595
681,637.135
191,227.195
395,506.825
575,608.2
280,315.49
204,275.71
348,418.095
413,357.96
615,507.21
494,496.42
260,240.87
244,238.095
200,174.915
184,334.12
265,294.785
334,241.24
321,287.615
717,726.93
246,264.52
206,215.425
298,327.91
208,388.15
559,453.805
237,366.47
368,459.295
347,532.225
263,264.865
725,638.07
303,257.385
299,375.56
558,492.06
832,719.06
218,258.03
328,316.305
630,743.455
281,350.49
310,312.065
326,287.83
558,494.76
486,508.385
387,397.805
374,461.525
639,500.34
365,273.945
270,377.13
766,782.8
99,238.355
213,219.555
215,328.575
172,350.83
297,281.87
919,779.81
437,437.945
665,826.57
370,433.85
204,203.015
195,268.145
288,231.405
439,485.235
292,333.61
611,470.77
2140,2147.035
438,390.61
646,566.065
348,236.27
264,307.195
597,554.445
277,227.245
155,282.895
742,695.205
589,605.27
568,442.635
215,195.745
257,306.175
492,508.425
341,285.935
195,222.92
165,226.69
261,294.79
274,291.28
276,311.47
404,436.495
303,280.355
343,259.23
192,229.76
454,432.18
448,367.7
239,290.755
244,256.09
171,249.87
229,221.82
743,616.975
507,421.18
589,656.615
1044,884.245
180,183.08
470,542.005
472,554.395
1686,1742.15
359,380.45
332,344.145
161,187.855
466,491.585
567,613.455
315,270.54
338,438.165
266,232.465
605,614.115
568,673.93
531,547.38
270,239.095
519,465.26
417,335.96
533,527.405
475,325.08
351,325.685
389,339.21
536,440.97
439,335.995
324,240.945
160,220.715
368,345.725
343,230.82
285,271.15
999,863.92
432,373.175
547,520.41
239,398.765
4048,4151.93
254,249.115
475,483.69
382,370.27
659,570.665
401,454.885
248,343.715
466,525.3
421,441.59
460,373.645
578,428.055
559,712.86
153,239.585
637,431.03
312,328.695
618,539.02
661,522.93
429,436.075
229,183.275
544,562.285
316,304.63
640,651.86
349,446.5
310,299.57
342,403.685
347,254.9
365,329.495
585,601.69
526,436.48
314,311.09
405,301.295
263,379.53
505,339.875
549,517.46
901,879.35
368,308.15
291,273.82
716,669.04
422,257.695
490,559.3
324,385.88
332,214.805
200,233.63
347,315.15
432,401.195
248,337.775
324,223.525
275,261.91
504,513.47
493,465.495
411,544.8
257,221.73
478,490.86
343,246.095
427,403.61
284,412.4
471,533.87
467,381.265
468,484.585
334,253.66
276,317.5
312,392.825
2470,2508.545
502,567.005
207,208.795
383,296.425
703,581.515
495,440.765
491,532.28
2672,2696.88
265,350.77
425,497.775
281,252.49
376,417.855
856,820.925
368,321.73
170,230.54
301,373.29
414,445.655
490,415.595
1332,1388.26
347,420.425
186,247.26
450,375.675
522,551.88
183,196.085
289,359.745
634,596.0
466,367.575
277,251.465
350,311.35
179,234.17
695,553.38
651,515.435
268,334.76
414,391.68
212,218.625
153,183.07
370,321.65
250,224.11
289,217.36
360,404.915
754,757.69
566,396.165
259,226.16
274,202.705
606,464.005
383,448.985
184,310.765
306,289.315
474,458.075
383,468.925
497,510.415
569,444.6
266,250.625
465,381.01
167,200.735
230,247.255
272,310.205
556,483.235
662,467.225
330,427.565
349,367.69
315,438.51
733,884.6
324,364.05
629,619.475
504,514.32
475,349.555
319,532.285
237,221.145
903,863.355
202,169.925
587,573.335
951,813.585
549,487.7
281,354.05
337,468.075
150,262.64
466,476.25
209,296.565
414,415.325
487,416.635
459,526.81
400,359.475
177,221.955
970,996.785
345,466.34
468,545.19
356,378.015
329,280.28
617,429.875
134,232.41
353,294.965
290,314.355
286,304.685
247,311.495
243,266.535
294,244.755
431,507.05
331,284.665
881,885.405
412,463.04
517,591.1
272,297.54
629,522.865
267,270.2
288,265.09
238,232.355
241,222.665
878,890.13
342,327.135
371,355.315
474,369.73
546,436.925
315,239.71
640,516.06
961,903.265
205,209.575
625,474.63
569,434.0
238,251.06
352,362.05
609,547.565
426,508.835
652,625.46
367,349.74
939,994.07
394,470.815
601,581.3
502,557.51
534,521.43
311,419.875
886,883.385
331,276.02
189,250.25
218,265.89
489,439.335
384,370.92
464,493.35
488,431.615
499,411.535
223,275.695
123,189.845
270,300.355
400,394.205
454,454.51
400,507.925
244,258.13
317,348.84
269,297.47
169,262.77
470,320.645
687,750.115
353,445.36
864,791.8
827,700.515
327,325.125
550,509.035
612,604.1
2504,2559.33
809,848.545
322,341.345
580,552.21
170,174.56
584,528.565
268,305.13
853,735.565
313,447.23
275,366.015
520,514.685
386,540.93
208,238.225
244,247.235
853,842.155
268,232.585
175,265.35
411,420.255
698,737.46
554,414.375
306,234.73
467,533.115
413,369.405
338,370.315
430,512.19
417,294.23
196,310.55
933,973.82
284,223.62
233,271.6
310,403.1
809,788.89
340,345.34
312,222.495
588,785.32
581,573.335
559,521.67
210,260.74
492,379.45
245,235.36
278,239.995
987,865.94
763,610.385
850,743.07
285,225.645
383,423.475
413,303.295
634,530.44
425,562.135
534,473.5
148,180.895
268,295.25
231,261.89
1848,1758.795
273,247.19
584,527.915
473,449.355
389,394.29
354,296.2
280,247.115
146,246.145
298,355.55
182,231.095
628,547.57
359,384.54
322,307.52
317,220.31
399,475.625
511,412.88
367,395.615
286,302.705
379,385.49
738,693.405
547,397.15
548,582.37
228,332.8
439,471.435
880,912.77
440,425.62
552,479.92
290,230.71
292,231.005
244,338.515
482,418.945
449,378.905
869,845.25
285,302.83
370,395.47
540,365.72
300,311.98
200,265.635
399,397.825
429,286.19
346,287.285
929,796.795
628,664.895
619,633.185
534,599.55
524,575.875
275,314.345
226,242.115
459,404.995
354,352.15
241,365.0
376,463.665
337,376.665
918,830.2
305,388.735
267,224.69
263,314.37
559,550.77
806,563.51
250,325.995
703,674.89
167,302.405
480,597.67
218,245.18
571,483.415
411,449.74
187,246.32
331,311.9
1792,1870.84
276,312.755
417,498.355
251,455.585
223,327.195
615,556.64
482,565.83
256,268.69
316,296.425
297,278.44
356,244.185
295,303.35
487,491.945
399,403.555
308,400.79
468,460.805
482,506.025
269,245.385
430,406.735
445,446.95
441,322.175
461,492.435
373,417.14
231,227.54
632,519.66
406,442.11
519,509.9
520,468.17
545,626.96
407,323.825
265,274.07
350,259.525
339,400.83
394,367.48
228,261.95
334,301.56
285,296.95
427,417.425
686,759.225
504,680.245
323,316.345
949,881.965
481,550.94
545,685.3
218,261.87
276,295.215
189,233.68
556,470.85
642,545.525
309,311.32
686,712.495
522,405.03
518,388.815
821,685.45
149,178.22
335,354.525
519,372.94
318,265.295
543,538.55
236,229.275
214,358.495
575,525.18
473,329.55
271,290.365
391,377.055
637,542.6
2184,2216.22
173,330.92
286,508.595
582,561.925
311,419.925
380,397.475
342,313.78
321,228.64
1007,863.94
358,301.525
478,455.94
606,591.275
694,545.485
250,342.665
303,297.31
489,430.99
315,347.26
200,253.255
578,619.595
237,248.845
315,227.47
342,269.24
424,377.325
177,238.83
531,597.22
206,343.51
597,551.98
353,293.48
295,265.255
233,387.335
606,685.33
507,463.975
458,430.69
537,557.11
187,217.125
321,459.23
784,798.31
318,249.17
652,722.815
277,398.76
1001,938.13
332,304.735
158,228.91
284,308.365
449,400.415
500,393.17
513,394.61
368,445.035
268,262.89
173,268.035
355,346.26
417,446.12
346,299.775
222,236.46
686,644.34
665,539.345
337,398.34
188,236.395
284,217.11
443,456.625
371,312.045
196,181.61
330,357.72
329,408.81
578,676.58
346,394.86
665,551.725
332,452.715
379,322.44
564,428.865
160,140.875
273,272.78
8256,6170.47
367,472.71
294,263.695
426,338.84
236,268.645
284,228.03
537,534.995
356,275.625
357,376.755
428,382.035
322,302.435
401,341.605
616,686.78
335,463.53
510,491.82
454,451.57
303,283.475
250,236.57
398,374.455
529,560.755
151,202.0
148,250.43
211,227.715
447,362.77
163,275.84
303,289.305
237,307.755
315,302.18
697,682.62
283,266.865
477,338.21
441,311.045
232,240.795
316,389.285
4232,4319.03
434,392.88
423,496.345
320,356.17
385,414.11
488,500.0
456,495.145
675,613.66
231,265.94
155,239.36
891,845.69
492,570.955
292,360.505
154,248.105
628,557.465
275,323.2
663,601.925
452,424.645
518,378.46
287,241.185
402,543.92
617,560.82
306,301.71
432,425.195
211,249.435
745,624.865
447,400.195
588,687.19
215,230.595
500,660.49
369,505.825
306,336.985
472,485.715
421,362.51
391,515.75
530,552.575
651,659.875
365,294.56
257,375.745
451,423.375
382,354.475
461,468.355
302,354.03
602,493.19
296,298.815
278,372.15
739,516.145
195,230.87
595,721.25
182,230.99
473,397.135
318,230.35
465,496.1
185,169.025
231,264.095
558,426.8
435,401.87
151,285.735
608,605.13
339,400.74
303,397.26
511,501.23
429,442.915
764,636.905
284,400.31
582,424.195
500,388.545
151,209.585
117,213.545
818,796.575
279,244.55
576,472.02
679,667.055
333,429.815
292,313.17
216,168.965
597,499.06
648,522.955
292,208.815
336,290.13
269,219.39
142,113.765
366,403.425
343,432.47
869,929.46
385,470.65
644,821.475
268,271.4
361,411.765
247,228.03
604,517.775
308,413.93
781,814.915
115,113.255
381,443.51
187,213.25
347,348.455
228,257.79
498,480.07
647,695.865
2214,2186.095
247,437.06
621,500.515
396,488.43
418,341.185
441,392.85
383,443.69
337,368.74
508,565.675
1107,1167.795
460,478.615
577,517.655
448,535.155
208,213.945
616,571.205
182,247.17
907,921.725
530,427.125
459,417.425
200,211.91
419,516.385
291,387.745
394,330.83
700,744.36
257,361.28
602,565.23
348,395.665
345,296.385
207,210.275
692,582.915
417,385.62
233,241.665
240,229.25
584,449.41
260,239.755
292,231.16
764,687.325
287,283.66
312,472.855
239,196.315
575,541.235
179,281.245
500,485.14
447,518.575
246,321.9
305,221.54
291,402.185
438,394.505
622,596.955
600,477.65
996,813.38
279,217.99
170,229.845
531,358.04
546,472.1
432,433.125
221,290.085
277,252.695
490,444.595
548,575.83
254,343.93
470,391.62
429,537.67
276,316.585
559,475.81
217,264.58
269,336.495
293,319.985
186,203.01
390,530.0
309,325.925
747,630.2
230,312.04
243,251.9
551,548.415
209,306.755
286,291.445
384,353.57
787,705.535
537,418.345
264,240.045
665,682.88
283,291.635
528,594.83
237,285.605
486,535.005
494,429.0
801,818.12
534,535.435
493,567.84
196,280.545
294,235.035
259,234.06
186,253.79
463,465.14
338,299.36
325,366.98
433,272.775
316,302.17
270,272.59
84,179.335
359,404.37
288,250.82
308,380.915
492,425.265
292,289.21
442,458.905
489,454.915
493,485.525
1047,1036.65
208,215.65
576,380.095
164,235.825
315,281.075
227,338.965
372,385.9
548,472.075
369,363.625
391,403.96
279,254.04
520,566.495
554,437.89
352,346.045
432,526.21
258,225.945
331,354.385
537,580.04
305,312.0
264,376.235
415,337.375
251,353.635
394,440.17
499,377.44
1049,857.505
671,787.92
267,262.475
291,268.595
432,440.87
154,222.705
1600,1448.54
359,369.25
602,616.82
158,187.65
436,403.75
269,221.205
907,831.655
543,519.15
374,350.975
186,250.595
400,332.955
493,478.46
246,349.13
217,262.475
384,382.01
585,469.68
493,509.3
419,404.595
512,641.455
246,240.87
317,439.005
401,429.45
443,486.03
3114,3315.89
279,415.425
516,491.025
293,254.89
901,790.545
304,284.7
421,455.2
269,248.675
180,166.535
829,888.765
310,294.56
276,282.35
441,495.975
337,237.54
476,522.62
310,296.805
517,357.18
401,541.21
378,379.56
469,454.015
318,355.225
301,250.38
998,940.7
397,405.73
310,343.23
506,419.735
148,287.53
353,275.8
327,239.495
685,610.325
272,284.47
341,251.02
148,242.99
275,314.25
708,879.76
307,290.45
180,246.81
835,715.345
182,226.04
185,243.08
714,716.13
243,257.975
472,643.87
642,574.5
811,752.765
418,394.175
234,389.605
212,252.305
340,280.195
326,369.37
586,589.24
297,302.465
287,288.265
407,436.82
588,516.415
234,421.68
276,288.195
359,379.62
233,196.63
597,583.375
362,293.11
359,294.675
358,334.33
668,797.99
437,425.35
271,252.145
351,380.185
277,242.02
339,214.415
505,660.205
548,460.07
374,317.28
513,386.765
419,594.37
877,948.48
457,516.48
371,448.015
498,379.775
408,528.475
307,230.755
265,346.34
223,320.205
321,337.765
288,252.33
604,518.78
260,274.09
582,472.595
453,459.625
204,334.315
307,292.185
454,504.295
307,346.165
779,806.385
437,428.83
350,378.965
219,240.92
349,239.575
387,364.205
588,632.74
483,383.195
272,201.265
2936,3001.845
214,236.29
335,236.035
511,398.995
334,221.875
930,969.12
291,303.62
426,479.99
393,361.35
459,445.645
457,588.58
306,265.485
3248,3291.545
605,639.91
287,317.44
401,486.975
249,378.085
400,358.37
537,451.885
313,400.335
115,234.73
342,367.215
927,870.58
300,498.28
373,389.67
403,353.715
467,448.785
390,394.78
427,481.615
224,204.64
425,468.825
196,255.39
520,571.475
189,291.36
488,420.71
279,290.41
511,611.415
386,275.025
276,349.25
296,279.46
508,567.32
218,204.82
307,425.275
376,328.775
185,229.835
368,452.36
175,224.215
340,299.565
390,494.365
175,226.92
281,234.66
347,265.925
299,279.1
1075,945.595
918,887.885
176,224.945
242,237.16
586,488.705
133,202.675
744,757.845
198,243.625
565,658.92
574,467.805
546,579.285
163,185.065
193,215.955
188,287.67
525,629.86
731,793.615
184,176.635
338,227.565
590,528.97
319,330.12
703,696.185
356,318.905
164,220.485
201,233.555
734,601.235
613,509.63
323,330.73
326,430.99
382,339.745
318,225.915
311,436.475
296,312.74
303,399.285
319,440.445
231,293.465
431,469.68
385,468.18
1074,1045.535
658,611.675
243,218.76
752,819.295
247,397.44
266,233.21
286,226.195
236,293.24
361,317.67
328,238.25
548,583.545
254,428.11
211,248.015
325,214.255
555,391.28
467,481.55
227,268.115
562,447.665
333,379.245
471,332.61
257,283.7
521,534.265
643,513.965
333,309.95
258,233.535
660,456.395
581,533.825
274,254.41
184,236.775
368,469.965
755,801.98
358,271.92
320,271.04
378,463.755
351,322.95
840,715.395
651,606.905
246,272.425
530,455.89
546,414.035
172,280.215
166,231.49
546,414.455
488,389.895
267,237.28
388,320.525
418,388.93
393,348.895
456,542.155
584,489.54
390,349.075
308,290.3
721,666.695
646,531.975
465,425.93
161,309.2
703,703.435
456,404.94
308,278.34
183,245.9
595,539.03
315,355.0
388,353.84
413,616.26
378,410.155
818,640.36
197,266.74
236,277.275
672,619.795
746,907.37
416,363.51
477,441.865
411,327.495
297,280.125
883,920.61
418,286.42
347,370.155
180,265.72
582,456.19
512,526.505
283,323.725
376,414.4
244,263.165
682,829.38
274,216.025
384,355.675
400,392.06
204,249.23
316,284.195
559,525.615
267,357.47
245,196.545
479,428.91
294,252.5
257,285.845
246,222.435
485,434.845
842,974.66
226,202.595
593,729.895
534,521.03
440,367.805
636,821.035
545,556.57
595,560.325
300,293.68
286,441.625
192,245.205
400,422.26
573,561.07
500,491.78
386,445.135
339,228.125
450,396.445
297,338.53
626,630.25
680,514.335
497,672.635
540,573.99
319,320.755
618,551.04
280,277.465
302,286.305
415,438.0
758,632.705
848,643.65
338,256.715
199,189.935
478,419.225
317,319.495
387,402.925
491,498.63
405,348.055
668,584.42
198,181.075
784,745.025
228,272.155
86,222.535
392,303.395
459,418.825
966,921.145
331,335.745
343,329.775
545,591.505
315,459.145
342,281.605
403,411.68
595,537.69
634,693.19
338,376.21
245,318.295
409,364.045
412,339.615
309,293.81
6984,6817.485
448,358.795
335,278.32
507,300.95
386,265.655
245,309.275
401,410.01
281,237.735
905,805.82
402,267.66
283,366.635
411,474.54
513,450.435
253,206.66
408,470.88
498,347.095
253,376.09
257,259.46
898,804.995
607,518.195
479,535.6
190,245.095
312,298.82
421,459.64
484,514.78
268,233.28
340,289.71
423,404.045
408,418.675
789,598.325
348,441.21
253,368.38
189,174.265
494,528.225
247,267.805
331,335.86
441,452.295
231,359.08
495,533.665
221,173.57
204,419.73
974,1008.62
374,326.475
117,230.565
373,549.96
468,428.57
884,898.345
336,314.13
500,496.865
346,253.93
1353,1400.945
509,574.17
249,210.32
688,755.79
342,233.84
254,359.545
569,445.1
227,367.89
453,619.395
510,545.18
559,453.135
298,212.045
297,292.88
489,442.56
309,254.925
518,545.81
440,358.375
561,625.04
285,394.285
553,466.04
500,524.03
361,411.11
248,196.35
435,537.315
622,558.635
2056,2252.22
426,462.345
394,433.17
181,229.46
216,272.19
426,342.63
392,339.58
575,581.825
372,342.55
238,256.305
328,336.365
466,587.47
357,353.31
568,432.215
534,524.045
216,235.55
359,312.185
505,483.745
617,494.385
821,771.02
408,382.42
556,434.13
713,808.415
583,523.625
439,481.31
231,351.305
423,363.26
327,450.215
427,373.29
462,466.705
253,350.7
523,526.52
481,586.2
274,224.05
214,265.315
276,271.05
489,602.51
564,531.675
233,376.67
484,550.045
1456,1564.94
376,405.52
187,249.36
366,412.76
462,459.99
300,415.48
465,414.195
428,646.565
281,224.955
430,373.925
256,231.055
544,555.135
363,502.075
645,490.875
448,404.39
530,407.4
307,253.58
630,552.57
347,245.39
237,220.135
482,502.61
540,525.185
461,349.065
591,501.64
194,321.76
279,410.755
528,423.95
763,729.98
481,387.92
199,190.82
299,370.29
741,646.695
448,438.515
322,280.375
326,299.335
440,430.145
576,510.435
666,558.31
252,290.855
333,476.605
990,837.73
268,212.91
205,259.58
397,403.015
717,678.915
200,245.83
335,351.91
